,name,latitude,longitude,city,country
585,Trieste – Friuli Venezia Giulia Airport (Ronchi dei Legionari Airport),45.826645,13.470089,Ronchi dei Legionari,Italy
586,Libreville International Airport,0.456963,9.409852,Libreville,Gabon
587,Trivandrum International Airport,8.48342,76.91982,Thiruvananthapuram,India
588,Tiruchirappalli International Airport,10.760367,78.70887,Tiruchirappalli,India
590,Tsumeb Airport,-19.262175,17.728832,Tsumeb,Namibia
594,Tabubil Airport,-5.279679,141.22693,Tabubil,Papua New Guinea
595,Boulia Airport,-22.910528,139.90125,Boulia,Australia
596,Boigu Island Airport,-9.232898,142.21675,Boigu Island,Australia
599,Angoche Airport,-16.181929,39.944008,Angoche Island,Mozambique
600,Beira Airport,-19.796824,34.9088,Cidade da Beira,Mozambique
601,Baghdad International Airport,33.267014,44.23116,Baghdad,Iraq
602,Entrance Island Seaplane Base (Hobart Bay) (FAA: 2Z1),57.41215,-133.4395,Angoon,United States
603,Mount Isa Airport,-20.668505,139.49092,Mount Isa,Australia
604,Longreach Airport,-23.43782,144.27425,Longreach,Australia
605,Murray Island Airport,-9.913933,144.0536,Murray Island,Australia
606,Mouila Airport,-1.8468255,11.055709,Mouila,Gabon
607,Bamako–Sénou International Airport,12.540926,-7.947951,Bamako,Mali
608,Mbuji Mayi Airport,-6.1249275,23.571402,Mbuji-Mayi,Democratic Republic of the Congo
609,Crystal Airport,45.060722,-93.35554,Minneapolis,United States
610,Manuel Crescencio Rejón International Airport,20.933842,-89.660446,Mérida,Mexico
611,Lightning Ridge Airport,-29.453428,147.9809,Lightning Ridge,Australia
615,Abéché Airport,13.844667,20.849396,Abeche,Chad
618,Woodbourne Airport,-41.51361,173.86736,Woodbourne,New Zealand
619,Brus Laguna Airport,15.761854,-84.54245,Brus Laguna,Honduras
620,Bhuj Airport / Bhuj Rudra Mata Air Force Base,23.2856,69.67067,Bhuj,India
621,Birmingham–Shuttlesworth International Airport,33.562428,-86.75413,Birmingham,United States
622,Beihan Airport,14.782829,45.71983,Bayhan al Qisab,Yemen
623,Broken Hill Airport,-31.99874,141.47012,Broken Hill,Australia
625,Bhavnagar Airport,21.75378,72.183426,Bhavnagar,India
629,McKellar–Sipes Regional Airport,35.60245,-88.92146,Jackson,United States
633,Block Island State Airport,41.169292,-71.58013,New Shoreham,United States
634,Beatrice Municipal Airport,40.29988,-96.74987,Beatrice,United States
635,Ulukhaktok/Holman Airport,70.762794,-117.8061,Ulukhaktok,Canada
637,Schefferville Airport,54.80402,-66.805725,Schefferville,Canada
638,Davis Field,27.841974,-82.71787,Pinellas Park,United States
641,Kangirsuk Airport,60.02758,-69.99959,Kangirsuk,Canada
642,Mackay Airport,-21.170567,149.18077,East Mackay,Australia
643,Attawapiskat Airport,52.926556,-82.43047,Attawapiskat,Canada
644,Gjoa Haven Airport,68.635704,-95.84991,Gjoa Haven,Canada
646,Bemidji Regional Airport,47.509243,-94.93291,Bemidji,United States
647,Corozal Airport,18.381605,-88.41196,Ranchito,Belize
649,Quad City International Airport,41.449635,-90.50827,Moline,United States
650,Melilla Airport,35.279724,-2.9568393,Melilla,Spain
651,Lebel-sur-Quévillon Airport (TC: CSH4),49.03,-77.016945,Lebel-sur-Quévillon,Canada
653,Malabang Airport,7.6344423,124.09113,Malabang,Philippines
654,Mananjary Airport,-21.202877,48.358143,Mananjary,Madagascar
655,Ninoy Aquino International Airport / Villamor Air Base,14.516388,121.01925,Pasay,Philippines
656,Jackson Municipal Airport,32.309944,-90.075294,Jackson,United States
658,Bahrain International Airport,26.269712,50.625988,Muharraq,Bahrain
659,Baotou Airport,40.566456,110.0022,Baotou,China
660,Barnaul Airport,53.361263,83.547386,Barnaul,Russia
661,Baillif Airport,16.013924,-61.743385,Baillif,Guadeloupe
663,Banjul International Airport,13.34406,-16.6522,Yundum,The Gambia
666,Bentota River Airport,6.429201,79.99496,Bentota,Sri Lanka
668,Port McNeill Airport (TC: CAT5),50.572006,-127.02553,Port McNeill,Canada
669,Maastricht Aachen Airport,50.913685,5.773359,Maastricht-Airport,Netherlands
670,Gatineau-Ottawa Executive Airport,45.52095,-75.56148,Gatineau,Canada
671,Sullivan County International Airport,41.702564,-74.8009,Swan Lake,United States
672,Tiska Djanet Airport,24.286697,9.460322,Djanet,Algeria
673,Aalborg Airport,57.09692,9.856463,Nørresundby,Denmark
674,Alenquer Airport,-1.93889,-54.7472,Alenquer,Brazil
677,Louis Armstrong New Orleans International Airport,29.9922,-90.25901,Kenner,United States
679,Erik Nielsen Whitehorse International Airport,60.714123,-135.07611,Whitehorse,Canada
680,Florida Keys Marathon Airport,24.724998,-81.05141,Marathon,United States
682,Montrose Regional Airport,38.50038,-107.89914,Montrose,United States
683,Excursion Inlet Seaplane Base,58.420498,-135.44904,Excursion Inlet,United States
685,Beaumont Municipal Airport,30.070204,-94.215096,Beaumont,United States
686,Buon Ma Thuot Airport,12.664714,108.117226,Thành phố Buôn Ma Thuột,Vietnam
688,Nashville International Airport,36.126316,-86.67737,Nashville,United States
689,Bandar Abbas International Airport,27.209497,56.368767,Bandar Abbas,Iran
693,Jomo Kenyatta International Airport,-1.3227102,36.92607,Nairobi,Kenya
694,Pickle Lake Airport,51.44815,-90.217064,Pickle Lake,Canada
695,Puvirnituq Airport,60.050682,-77.28718,Puvirnituq,Canada
698,Nice Côte d'Azur Airport,43.659767,7.2148213,Nice,France
699,Sam Neua Airport,20.418156,104.066414,Sam Nuea,Laos
700,Kirkwall Airport,58.95375,-2.902102,Kirkwall,United Kingdom
701,Miramar Airport,32.870148,-117.14412,San Diego,United States
703,Brindisi – Salento Airport,40.65676,17.945349,Brindisi,Italy
704,Bardufoss Airport,69.0596,18.538963,Bardufoss,Norway
705,Benbecula Airport,57.475,-7.372312,Balivanich,United Kingdom
706,Laurence G. Hanscom Field,42.46317,-71.29119,Bedford,United States
707,Bluefields Airport,11.991944,-83.7725,Bluefields,Nicaragua
708,Rafael Hernández Airport,18.495396,-67.135574,Aguadilla Pueblo,Puerto Rico
710,Bartlett Cove Seaplane Base,58.455208,-135.88518,Gustavus,United States
711,Bremerhaven Airport,53.538284,8.53969,Nordenham,Germany
712,Marlboro County Jetport (FAA: BBP),34.62085,-79.73278,Bennettsville,United States
713,Butler County Airport (K.W. Scholter Field),40.779133,-79.94757,Butler,United States
714,Beauvais–Tillé Airport,49.454468,2.111511,Tillé,France
716,Brive–Souillac Airport,45.04137,1.4902998,Nespouls,France
717,Esperadinha Airport,14.865616,-24.744514,Brava,Cape Verde
719,Qasigiannguit Heliport,69.24344,-51.056675,Ilulissat,Greenland
720,Lutselk'e Airport,62.41686,-110.70585,Lutselk'e,Canada
721,Squamish Airport,49.782505,-123.15943,Squamish,Canada
722,Rankin Inlet Airport,62.809654,-92.11113,Rankin Inlet,Canada
723,Mikkeli Airport,61.68603,27.205368,Mikkeli,Finland
724,Mala Mala Airport,-24.815424,31.543955,Kruger Park,South Africa
725,Bangor International Airport,44.806927,-68.82327,Bangor,United States
726,Gautam Buddha Airport,27.506992,83.41994,Siddharthanagar,Nepal
727,Blackwell–Tonkawa Municipal Airport (FAA: BKN),36.746056,-97.34883,Blackwell,United States
728,Bowman Municipal Airport (FAA: BPP),46.17064,-103.30318,Bowman,United States
730,George R. Carr Memorial Air Field,30.813686,-89.86497,Bogalusa,United States
731,Bendigo Airport,-36.73832,144.32635,Bendigo,Australia
732,Balkhash Airport,46.89077,75.00336,Balkhash,Kazakhstan
734,Boraldai Airport,43.3516,76.8826,Boralday,Kazakhstan
735,Merimbula Airport,-36.90988,149.90213,Merimbula,Australia
736,Moenjodaro Airport,27.331099,68.13991,Mohenjo-daro,Pakistan
737,Noto Airport,37.29526,136.95732,Wajima,Japan
740,Amborovy Airport (Philibert Tsiranana Airport),-15.666389,46.350834,Mahajanga,Madagascar
742,Baldwin County Airport,33.153767,-83.240715,Milledgeville,United States
745,Buckeye Municipal Airport,33.42277,-112.68535,Buckeye,United States
746,Borrego Valley Airport (FAA: L08),33.258034,-116.32459,Borrego Springs,United States
748,Borama Airport,9.942171,43.155945,Borama,Somalia
750,Boundary Airport,49.074993,-123.007675,Delta,Canada
753,Albert – Picardie Airport,49.972927,2.6901066,Méaulte,France
754,Johnson County Airport,38.84863,-94.73779,Olathe,United States
755,Burley Municipal Airport,42.5398,-113.76861,Burley,United States
763,Shaw River Airport,-21.509771,119.3626,Shaw River,Australia
764,Branson Airport (FAA: BBG),36.538544,-93.19907,Hollister,United States
766,Kasane Airport,-17.8306,25.16372,Kasane,Botswana
768,Kota Kinabalu International Airport,5.923076,116.05102,Kota Kinabalu,Malaysia
769,Cleveland Burke Lakefront Airport,41.51157,-81.68992,Cleveland,United States
770,Zambezi Airport,-13.537343,23.109938,Zambezi,Zambia
771,Del Bajío International Airport (Guanajuato Int'l Airport),20.993517,-101.48057,Silao,Mexico
772,Balkanabat Airport,39.480556,54.36611,Balkanabat,Turkmenistan
773,Central Illinois Regional Airport,40.47621,-88.91548,Bloomington,United States
774,Bhamo Airport,24.26829,97.24973,Bhamo,Myanmar (Burma)
775,Cabinda Airport,-5.596699,12.188059,Cabinda,Angola
776,Malta Airport (FAA: M75),48.367085,-107.9189,Malta,United States
777,General Francisco J. Mujica International Airport,19.846464,-101.02814,Álvaro Obregón,Mexico
778,Millicent Airport,-37.583214,140.36919,Millicent,Australia
780,Miles City Airport (Frank Wiley Field),46.4289,-105.88344,Miles City,United States
781,McEntire Joint National Guard Base,33.940315,-80.80113,Hopkins,United States
782,Namutoni Airport,-18.808754,16.923008,Namutoni,Namibia
788,Mongu Airport,-15.254308,23.156813,Mongu,Zambia
792,Clayton Municipal Airpark,36.446453,-103.15569,Clayton,United States
793,Juan H. White Airport,7.96582,-75.199486,Caucasia,Colombia
794,Caribou Municipal Airport,46.871387,-68.01778,Caribou,United States
795,Anfa Airport,33.556194,-7.6618166,Casablanca,Morocco
798,Jorge Wilstermann International Airport,-17.417048,-66.17871,Cochabamba,Bolivia
799,Council Bluffs Municipal Airport,41.260853,-95.759476,Council Bluffs,United States
801,Boudghene Ben Ali Lotfi Airport,31.645279,-2.278066,Béchar,Algeria
802,Colby Municipal Airport (Shalz Field),39.428173,-101.04898,Colby,United States
803,Tomás de Heres Airport,8.125555,-63.537666,Ciudad Bolívar,Venezuela
807,Carcassonne Airport,43.21575,2.3061712,Carcassonne,France
808,Chile Chico Airfield,-47.243847,-72.58842,Cochrane,Chile
809,Mansa Airport,-11.138838,28.877884,Mansa,Zambia
811,Cocos (Keeling) Islands Airport,-12.190961,96.83309,West Island,Cocos (Keeling) Islands
812,Dawson City Airport,64.04475,-139.12585,Dawson,Canada
813,Zweibrücken Airport,49.215343,7.401181,Contwig,Germany
818,Colonia Catriel Airport,-37.908253,-67.832184,Catriel,Argentina
820,Wau Airport,7.725794,27.973225,Wau,South Sudan
821,Ballina Byron Gateway Airport,-28.837618,153.55624,Ballina,Australia
822,Barnwell Regional Airport,33.260143,-81.38078,Barnwell,United States
826,Monroe Regional Airport,32.51023,-92.043625,Monroe,United States
827,Gamètì/Rae Lakes Airport,64.1168,-117.311646,Rae Lakes,Canada
831,Benin Airport,6.3171797,5.6036534,Benin City,Nigeria
834,Qamdo Bamda Airport,30.549778,97.106514,Qamdo,China
836,Marion Municipal Airport,40.49122,-85.67546,Marion,United States
837,Mammoth Yosemite Airport,37.624462,-118.83885,Mammoth Lakes,United States
838,Murmansk Airport,68.78449,32.757927,Murmashi,Russia
839,Middlemount Airport,-22.800087,148.70518,Middlemount,Australia
840,Ilford Airport,56.051723,-95.61448,Ilford,Canada
842,Mbala Airport,-8.857662,31.335915,Mbala,Zambia
843,Morristown Municipal Airport,40.79756,-74.41576,Morristown,United States
845,Dschang Airport,5.448157,10.063836,Dschang,Cameroon
848,Penang International Airport,5.2934294,100.271515,Bayan Lepas,Malaysia
849,Biskra Airport,34.79194,5.7335796,Biskra,Algeria
852,Netaji Subhas Chandra Bose International Airport,22.652042,88.44633,Kolkata,India
854,Northeast Iowa Regional Airport,43.069103,-92.607544,Charles City,United States
856,Touat-Cheikh Sidi Mohamed Belkebir Airport,27.841246,-0.1880881,Adrar,Algeria
859,Brest Airport,48.44764,-4.4178324,Guipavas,France
863,Chengde Puning Airport,40.95294,117.96275,Chengde,China
864,Harrell Field,33.622776,-92.763336,Camden,United States
865,George T. Lewis Airport,29.134295,-83.05079,Cedar Key,United States
866,Woodward Field,34.28361,-80.56472,Camden,United States
867,Midland Airpark,32.035618,-102.10197,Midland,United States
868,Taylor County Airport,37.357067,-85.31341,Campbellsville,United States
869,Galesburg Municipal Airport,40.93908,-90.43087,Galesburg,United States
871,Makurdi Airport,7.701083,8.613318,Makurdi,Nigeria
873,Bacha Khan International Airport,33.98982,71.51921,Peshawar,Pakistan
874,Penong Airport,-31.922579,133.00111,Penong,Australia
875,Penza Airport (Ternovka Airport),53.11832,45.02304,Penza,Russia
876,Philadelphia International Airport,39.874397,-75.242424,Philadelphia,United States
877,St. Clair County International Airport,42.91044,-82.52809,Smiths Creek,United States
878,Parkes Airport,-33.132812,148.2381,Parkes,Australia
879,Pakse International Airport,15.135927,105.779564,Pakse,Laos
880,Planadas Airport,3.2000887,-75.64138,Planadas,Colombia
883,Mohamed Boudiaf International Airport,36.28347,6.622142,Constantine,Algeria
884,Resolute Bay Airport,74.71694,-94.969444,Resolute,Canada
885,Bella Coola Airport,52.38782,-126.587906,Hagensborg,Canada
887,Kadapa Airport,14.518366,78.76803,Kadapa,India
888,Childress Municipal Airport,34.434544,-100.28262,Childress,United States
889,Essex County Airport,40.875565,-74.27827,Fairfield,United States
